g10243.t1	GO:0016758
jg10036.t1	GO:0008168
jg1006.t1	GO:0000786
jg1006.t1	GO:0003677
jg1006.t1	GO:0006334
jg1007.t1	GO:0003677
jg1008.t1	GO:0003677
jg1009.t1	GO:0003677
jg10116.t1	GO:0046983
jg10120.t1	GO:0004803
jg10120.t1	GO:0006313
jg10124.t1	GO:0015074
jg10128.t1	GO:0003676
jg10128.t1	GO:0008270
jg10129.t1	GO:0006508
jg10129.t1	GO:0008234
jg10130.t1	GO:0004803
jg10130.t1	GO:0006313
jg10159.t1	GO:0003676
jg10159.t1	GO:0008270
jg10162.t1	GO:0003676
jg10162.t1	GO:0004523
jg10189.t1	GO:0046983
jg1021.t1	GO:0015074
jg10227.t1	GO:0006508
jg10227.t1	GO:0008234
jg10228.t1	GO:0003676
jg10228.t1	GO:0008270
jg10278.t1	GO:0046983
jg10288.t1	GO:0003676
jg10321.t1	GO:0003924
jg10323.t1	GO:0005515
jg10333.t1	GO:0005515
jg10333.t1	GO:0008168
jg10340.t1	GO:0046983
jg10342.t1	GO:0055085
jg10346.t1	GO:0008270
jg10353.t1	GO:0000287
jg10353.t1	GO:0004743
jg10353.t1	GO:0006096
jg10353.t1	GO:0030955
jg10356.t1	GO:0055114
jg10381.t1	GO:0000166
jg10381.t1	GO:0003677
jg10381.t1	GO:0003887
jg10381.t1	GO:0006260
jg10389.t1	GO:0046983
jg10406.t1	GO:0003676
jg10406.t1	GO:0008270
jg10495.t1	GO:0015074
jg10513.t1	GO:0046983
jg1052.t1	GO:0007165
jg10536.t1	GO:0000166
jg10536.t1	GO:0003677
jg10536.t1	GO:0003887
jg10536.t1	GO:0006260
jg10537.t1	GO:0003676
jg10537.t1	GO:0004523
jg10543.t1	GO:0003676
jg10543.t1	GO:0003677
jg1055.t1	GO:0015074
jg10556.t1	GO:0015074
jg10564.t1	GO:0046983
jg10566.t1	GO:0003676
jg10566.t1	GO:0004523
jg10573.t1	GO:0003677
jg10589.t1	GO:0055114
jg10590.t1	GO:0006508
jg10590.t1	GO:0008234
jg10597.t1	GO:0046983
jg10616.t1	GO:0046983
jg10623.t1	GO:0015074
jg10629.t1	GO:0006508
jg10629.t1	GO:0008234
jg10648.t1	GO:0000723
jg10648.t1	GO:0003678
jg10648.t1	GO:0006281
jg10649.t1	GO:0003676
jg10649.t1	GO:0003677
jg10658.t1	GO:0004803
jg10658.t1	GO:0006313
jg10660.t1	GO:0003676
jg10660.t1	GO:0008270
jg10668.t1	GO:0003676
jg10668.t1	GO:0005524
jg10669.t1	GO:0003735
jg10669.t1	GO:0005840
jg10669.t1	GO:0006412
jg10678.t1	GO:0015074
jg10691.t1	GO:0015074
jg10693.t1	GO:0015074
jg107.t1	GO:0046855
jg10720.t1	GO:0005509
jg10723.t1	GO:0006508
jg10723.t1	GO:0008234
jg10728.t1	GO:0003676
jg10728.t1	GO:0005524
jg10737.t1	GO:0003723
jg10738.t1	GO:0005525
jg10739.t1	GO:0003735
jg10739.t1	GO:0006412
jg10739.t1	GO:0015934
jg10742.t1	GO:0016021
jg10742.t1	GO:0042765
jg10748.t1	GO:0003700
jg10748.t1	GO:0006355
jg10751.t1	GO:0005737
jg10751.t1	GO:0006511
jg10751.t1	GO:0007275
jg10752.t1	GO:0003676
jg10752.t1	GO:0004523
jg10765.t1	GO:0003677
jg10766.t1	GO:0005525
jg10772.t1	GO:0005509
jg10772.t1	GO:0005515
jg10777.t1	GO:0005509
jg10781.t1	GO:0005509
jg10781.t1	GO:0016491
jg10781.t1	GO:0055114
jg10791.t1	GO:0005787
jg10791.t1	GO:0006465
jg10791.t1	GO:0016021
jg10795.t1	GO:0007165
jg10796.t1	GO:0005515
jg10798.t1	GO:0005524
jg10798.t1	GO:0016021
jg10798.t1	GO:0042626
jg10798.t1	GO:0055085
jg10804.t1	GO:0005515
jg10804.t1	GO:0008237
jg10804.t1	GO:0070122
jg10805.t1	GO:0004930
jg10805.t1	GO:0007186
jg10805.t1	GO:0016021
jg10806.t1	GO:0004930
jg10806.t1	GO:0007186
jg10806.t1	GO:0016021
jg10811.t1	GO:0006511
jg10811.t1	GO:0031625
jg10816.t1	GO:0003735
jg10816.t1	GO:0005840
jg10816.t1	GO:0006412
jg10817.t1	GO:0017176
jg10819.t1	GO:0005634
jg10819.t1	GO:0042254
jg10824.t1	GO:0005525
jg10825.t1	GO:0016021
jg10827.t1	GO:0046872
jg10830.t1	GO:0004383
jg10830.t1	GO:0004672
jg10830.t1	GO:0005524
jg10830.t1	GO:0006182
jg10830.t1	GO:0006468
jg10830.t1	GO:0009190
jg10830.t1	GO:0035556
jg10837.t1	GO:0005515
jg10837.t1	GO:0008270
jg10838.t1	GO:0005525
jg10839.t1	GO:0017176
jg10842.t1	GO:0005524
jg10842.t1	GO:0006298
jg10842.t1	GO:0030983
jg10847.t1	GO:0016192
jg10848.t1	GO:0003777
jg10848.t1	GO:0005524
jg10848.t1	GO:0007018
jg10848.t1	GO:0008017
jg10849.t1	GO:0006355
jg1085.t1	GO:0000145
jg1085.t1	GO:0006904
jg10859.t1	GO:0004672
jg10859.t1	GO:0006468
jg10860.t1	GO:0004386
jg10860.t1	GO:0005515
jg10862.t1	GO:0004672
jg10862.t1	GO:0005524
jg10862.t1	GO:0006468
jg10867.t1	GO:0046983
jg10868.t1	GO:0046983
jg1087.t1	GO:0016020
jg10871.t1	GO:0003777
jg10871.t1	GO:0005524
jg10871.t1	GO:0007018
jg10871.t1	GO:0008017
jg10878.t1	GO:0016787
jg10883.t1	GO:0008237
jg10883.t1	GO:0008270
jg10885.t1	GO:0003676
jg10891.t1	GO:0016491
jg10891.t1	GO:0055114
jg10893.t1	GO:0003676
jg10894.t1	GO:0008137
jg10894.t1	GO:0009055
jg10894.t1	GO:0016020
jg10896.t1	GO:0046983
jg10897.t1	GO:0004672
jg10897.t1	GO:0005524
jg10897.t1	GO:0006468
jg10908.t1	GO:0022857
jg10908.t1	GO:0055085
jg10915.t1	GO:0005524
jg10915.t1	GO:0016020
jg10919.t1	GO:0005525
jg10920.t1	GO:0003735
jg10920.t1	GO:0005840
jg10920.t1	GO:0006412
jg10921.t1	GO:0004930
jg10921.t1	GO:0007186
jg10921.t1	GO:0016021
jg10925.t1	GO:0004930
jg10925.t1	GO:0007186
jg10925.t1	GO:0016021
jg10940.t1	GO:0046983
jg10948.t1	GO:0004930
jg10948.t1	GO:0007186
jg10948.t1	GO:0016021
jg10949.t1	GO:0004930
jg10949.t1	GO:0007186
jg10949.t1	GO:0016021
jg10954.t1	GO:0005515
jg10960.t1	GO:0004560
jg10960.t1	GO:0005975
jg10961.t1	GO:0016787
jg10962.t1	GO:0016787
jg10963.t1	GO:0005524
jg10963.t1	GO:0016887
jg1098.t1	GO:0003677
jg1098.t1	GO:0046983
jg10983.t1	GO:0003924
jg10983.t1	GO:0005525
jg10984.t1	GO:0005634
jg10986.t1	GO:0072546
jg10988.t1	GO:0004519
jg10988.t1	GO:0005634
jg10988.t1	GO:0006302
jg10988.t1	GO:0016787
jg10988.t1	GO:0030145
jg10989.t1	GO:0003676
jg10989.t1	GO:0005634
jg10994.t1	GO:0003677
jg10997.t1	GO:0004386
jg10997.t1	GO:0005524
jg11.t1	GO:0006508
jg11.t1	GO:0008234
