g10243.t1	GO:0016758
jg10002.t1	
jg10003.t1	
jg10009.t1	
jg10020.t1	
jg10021.t1	
jg10024.t1	
jg10025.t1	
jg10030.t1	
jg10031.t1	
jg10032.t1	
jg10034.t1	
jg10036.t1	
jg10036.t1	GO:0008168
jg10038.t1	
jg10042.t1	
jg10044.t1	
jg10048.t1	
jg1006.t1	GO:0000786
jg1006.t1	GO:0003677
jg1006.t1	GO:0006334
jg10061.t1	
jg10067.t1	
jg10069.t1	
jg1007.t1	
jg1007.t1	GO:0003677
jg1008.t1	GO:0003677
jg10084.t1	
jg10086.t1	
jg1009.t1	GO:0003677
jg10094.t1	
jg10096.t1	
jg1010.t1	
jg10107.t1	
jg10108.t1	
jg10110.t1	
jg10111.t1	
jg10116.t1	
jg10116.t1	GO:0046983
jg10117.t1	
jg10119.t1	
jg10120.t1	GO:0004803
jg10120.t1	GO:0006313
jg10124.t1	
jg10124.t1	GO:0015074
jg10128.t1	GO:0003676
jg10128.t1	GO:0008270
jg10129.t1	GO:0006508
jg10129.t1	GO:0008234
jg10130.t1	GO:0004803
jg10130.t1	GO:0006313
jg10131.t1	
jg10138.t1	
jg10139.t1	
jg1014.t1	
jg10141.t1	
jg10142.t1	
jg10148.t1	
jg10151.t1	
jg10152.t1	
jg10156.t1	
jg10158.t1	
jg10159.t1	GO:0003676
jg10159.t1	GO:0008270
jg1016.t1	
jg10160.t1	
jg10161.t1	
jg10162.t1	GO:0003676
jg10162.t1	GO:0004523
jg10164.t1	
jg1017.t1	
jg10170.t1	
jg10173.t1	
jg10176.t1	
jg10179.t1	
jg10188.t1	
jg10189.t1	GO:0046983
jg10192.t1	
jg10195.t1	
jg10196.t1	
jg10197.t1	
jg10201.t1	
jg1021.t1	GO:0015074
jg10210.t1	
jg10212.t1	
jg10213.t1	
jg10214.t1	
jg10215.t1	
jg10216.t1	
jg10218.t1	
jg10219.t1	
jg10220.t1	
jg10227.t1	GO:0006508
jg10227.t1	GO:0008234
jg10228.t1	GO:0003676
jg10228.t1	GO:0008270
jg10237.t1	
jg10238.t1	
jg10240.t1	
jg10243.t1	
jg10245.t1	
jg10251.t1	
jg10257.t1	
jg10258.t1	
jg10260.t1	
jg10261.t1	
jg10263.t1	
jg10270.t1	
jg10277.t1	
jg10278.t1	GO:0046983
jg10280.t1	
jg10283.t1	
jg10284.t1	
jg10286.t1	
jg10288.t1	GO:0003676
jg10291.t1	
jg10295.t1	
jg10297.t1	
jg10301.t1	
jg10303.t1	
jg10304.t1	
jg10306.t1	
jg10313.t1	
jg10314.t1	
jg10315.t1	
jg10321.t1	
jg10321.t1	GO:0003924
jg10322.t1	
jg10323.t1	
