sample.id	trt.id	genotype	aphid	population
18c	18c	G16	no	na
29c	29c	G16	no	na
43c	43c	G16	no	na
50c	50c	G16	no	na
51c	51c	G16	no	na
10c	10c	G87	no	na
22c	22c	G87	no	na
24c	24c	G87	no	na
41c	41c	G87	no	na
45c	45c	G87	no	na
26c	26c	G935	no	na
31c	31c	G935	no	na
35c	35c	G935	no	na
49c	49c	G935	no	na
5c	5c	G935	no	na
1p	1CA	G16	yes	CA
25p	25WA	G16	yes	WA
37p	37CA	G16	yes	CA
40p	40WA	G16	yes	WA
46p	46CA	G16	yes	CA
48p	48CA	G16	yes	CA
4p	4CA	G16	yes	CA
15p	15CA	G87	yes	CA
16p	16WA	G87	yes	WA
20p	20WA	G87	yes	WA
27p	27CA	G87	yes	CA
2p	2CA	G87	yes	CA
33p	33WA	G87	yes	WA
34p	34WA	G87	yes	WA
36p	36WA	G87	yes	WA
39p	39CA	G87	yes	CA
42p	42WA	G87	yes	WA
6p	6CA	G87	yes	CA
13p	13WA	G935	yes	WA
14p	14WA	G935	yes	WA
19p	19CA	G935	yes	CA
21p	21CA	G935	yes	CA
23p	23WA	G935	yes	WA
32p	32CA	G935	yes	CA
44p	44CA	G935	yes	CA
